old,kind,status,real_words,editorial_inbound,h1,new,action,note
/,page,200,583,182,Een goede studiekeuze maken. Lastig hè?,/,keep,
/2014/,date-archive,200,353,1,Voor 1 mei inschrijven,,drop,noindex on the old site
/2014/03/,date-archive,200,369,0,"Gestopt met studie, een gemiste kans?",,drop,noindex on the old site
/2014/04/,date-archive,200,481,0,Kosten verkeerde studiekeuze,,drop,noindex on the old site
/2014/05/,date-archive,200,242,0,Wat betekent het leenstelsel concreet voor jou?,,drop,noindex on the old site
/2014/07/,date-archive,200,417,0,De voorbereiding op je nieuwe studie begint nu,,drop,noindex on the old site
/2014/11/,date-archive,200,413,0,In februari starten met een studie: voordelen en nadelen,,drop,noindex on the old site
/2014/12/,date-archive,200,353,0,Voor 1 mei inschrijven,,drop,noindex on the old site
/2015/,date-archive,200,605,1,Mijn studie is te moeilijk voor mij…,,drop,noindex on the old site
/2015/01/,date-archive,200,300,0,Stoppen voor 1 februari,,drop,noindex on the old site
/2015/05/,date-archive,200,378,0,Switchen van studie,,drop,noindex on the old site
/2015/06/,date-archive,200,362,0,Van vmbo naar mbo,,drop,noindex on the old site
/2015/09/,date-archive,200,509,0,"Mijn studie is niet leuk, wat nu?",,drop,noindex on the old site
/2015/10/,date-archive,200,424,0,Gestopt met je studie? Blijf niet stilzitten!,,drop,noindex on the old site
/2015/11/,date-archive,200,605,0,Mijn studie is te moeilijk voor mij…,,drop,noindex on the old site
/2016/,date-archive,200,505,1,Deadline decentrale selectie 15 januari,,drop,noindex on the old site
/2016/08/,date-archive,200,655,0,Studiekeuze? Wacht niet te lang met de voorbereiding!,,drop,noindex on the old site
/2016/12/,date-archive,200,505,0,Deadline decentrale selectie 15 januari,,drop,noindex on the old site
/2019/,date-archive,200,438,1,Studies en baankansen,,drop,noindex on the old site
/2019/02/,date-archive,200,437,0,Mbo-opleidingen beperkt aantal plaatsen,,drop,noindex on the old site
/2019/04/,date-archive,200,328,0,Halvering collegegeld,,drop,noindex on the old site
/2019/05/,date-archive,200,416,0,Geld lenen? De regering wil de rente op de studieschuld verhogen,,drop,noindex on the old site
/2019/08/,date-archive,200,421,0,Studeren in Belgie,,drop,noindex on the old site
/2019/09/,date-archive,200,520,0,Studie kiezen: ga je voor leuk of nuttig?,,drop,noindex on the old site
